broadcast_id,timestamp,sender_id,location,broadcast_type,message_text,signal_strength,cross_check_status,label
BC-178,2026-09-23 05:31,Mini-Marv-05,Physics Lawn,situation_report,"Arrived Physics Lawn late. Damage found consistent with the original emergency calls, not New Meridian's all-clear.",53,verified,genuine
BC-179,2026-09-23 11:02,Outpost-Theta,CS Building Foyer,emergency,Urgent: peacock swarm breaching CS Building Foyer perimeter. Need immediate reinforcement.,46,not_checked,genuine
BC-180,2026-09-23 11:37,Outpost-Theta,CS Building Foyer,emergency,"Repeat: CS Building Foyer perimeter breached, falling back.",39,not_checked,genuine
BC-181,2026-09-23 14:20,New Meridian,CS Building Foyer,all_clear,CS Building Foyer fully secured. Convoys may proceed without escort.,92,disputed,peacock_spoofed
BC-182,2026-09-24 14:05,Mini-Marv-01,CS Building Foyer,situation_report,"Followed up on CS Building Foyer's emergency call - no relief ever arrived, damage confirms the original reports.",52,verified,genuine
BC-183,2026-09-24 23:25,New Meridian,Prescott Court,all_clear,Prescott Court situation resolved. All clear now.,89,disputed,peacock_spoofed
BC-184,2026-09-26 12:43,Outpost-Beta,Prescott Court,warning,Attack reported at Prescott Court - New Meridian's all-clear from yesterday proven false again.,57,verified,genuine
BC-185,2026-09-26 23:56,Marv Mail,Library Walk,situation_report,Library Walk reported secure based on last known patrol route.,68,verified,outdated
BC-186,2026-09-27 05:37,Outpost-Theta,Transit Hub Plaza,supply_request,Supply cache at Transit Hub Plaza needs restocking within the week.,54,unconfirmed,genuine
BC-187,2026-09-27 15:02,New Meridian,Chemistry Annex,all_clear,Chemistry Annex situation resolved. All clear now.,87,disputed,peacock_spoofed
BC-188,2026-09-29 06:50,Outpost-Epsilon,Chemistry Annex,warning,"Chemistry Annex hit by peacock swarm overnight, contradicting New Meridian's recent all-clear.",47,verified,genuine
BC-189,2026-09-29 16:51,Mini-Marv-02,Solar Array Field,situation_report,Cross-checked Outpost-Epsilon's report at Solar Array Field with eyewitness scouts. Matches ground conditions.,52,verified,genuine
BC-190,2026-09-29 22:48,Outpost-Theta,North Parking Structure,routine_check,Routine check at North Parking Structure complete. All systems nominal.,59,unconfirmed,genuine
BC-191,2026-09-30 07:25,Outpost-Theta,Maintenance Tunnel Entrance,emergency,Peacocks breaching Maintenance Tunnel Entrance perimeter fence. Requesting immediate backup.,44,not_checked,genuine
BC-192,2026-09-30 07:43,Outpost-Theta,Maintenance Tunnel Entrance,emergency,"Repeat: Maintenance Tunnel Entrance perimeter breached, falling back.",36,not_checked,genuine
BC-193,2026-09-30 11:30,New Meridian,Maintenance Tunnel Entrance,all_clear,Maintenance Tunnel Entrance fully secured. Convoys may proceed without escort.,93,disputed,peacock_spoofed
BC-194,2026-10-01 08:48,Mini-Marv-05,Maintenance Tunnel Entrance,situation_report,"Investigated Maintenance Tunnel Entrance - damage matches the earlier emergency broadcasts, not New Meridian's all-clear.",50,verified,genuine
BC-195,2026-10-01 20:09,New Meridian,Reynolds Court,all_clear,Reynolds Court situation resolved. All clear now.,87,disputed,peacock_spoofed
BC-196,2026-10-03 15:23,Outpost-Theta,Reynolds Court,warning,"Reynolds Court hit by peacock swarm overnight, contradicting New Meridian's recent all-clear.",59,verified,genuine
BC-197,2026-10-04 01:08,Marv Mail,Rec Center Courtyard,situation_report,"Rec Center Courtyard unchanged, relying on earlier patrol notes.",67,verified,outdated
BC-198,2026-10-04 08:56,Marv Mail,Physics Lawn,situation_report,"Physics Lawn remains as previously reported, no changes to note.",70,verified,outdated
BC-199,2026-10-04 21:09,Mini-Marv-04,Physics Lawn,situation_report,Marv Mail's Physics Lawn report disputed after fresh scouting revealed changed conditions on the ground.,56,disputed,genuine
BC-200,2026-10-05 06:52,Outpost-Epsilon,Old Commerce Building,supply_request,Supply cache at Old Commerce Building needs restocking within the week.,50,unconfirmed,genuine
BC-201,2026-10-05 11:30,Outpost-Epsilon,Hackett Hall Path,emergency,Peacocks breaching Hackett Hall Path perimeter fence. Requesting immediate backup.,40,not_checked,genuine
BC-202,2026-10-05 11:59,Outpost-Epsilon,Hackett Hall Path,emergency,Repeat: Hackett Hall Path under direct attack. This is not a drill.,42,not_checked,genuine
BC-203,2026-10-05 14:48,New Meridian,Hackett Hall Path,all_clear,Hackett Hall Path declared safe once more for convoy travel.,94,disputed,peacock_spoofed
BC-204,2026-10-06 13:18,Mini-Marv-02,Hackett Hall Path,situation_report,"Investigated Hackett Hall Path - damage matches the earlier emergency broadcasts, not New Meridian's all-clear.",53,verified,genuine
BC-205,2026-10-06 21:58,Outpost-Gamma,Maintenance Tunnel Entrance,emergency,Peacock flock breaching Maintenance Tunnel Entrance treeline. Requesting backup now.,44,not_checked,genuine
BC-206,2026-10-06 22:22,Outpost-Gamma,Maintenance Tunnel Entrance,emergency,"Repeat: Maintenance Tunnel Entrance overrun, retreating to secondary position.",40,not_checked,genuine
BC-207,2026-10-07 01:52,New Meridian,Maintenance Tunnel Entrance,all_clear,Maintenance Tunnel Entrance situation resolved. All clear now.,90,disputed,peacock_spoofed
BC-208,2026-10-08 00:48,Mini-Marv-03,Maintenance Tunnel Entrance,situation_report,"Investigated Maintenance Tunnel Entrance - damage matches the earlier emergency broadcasts, not New Meridian's all-clear.",53,verified,genuine
BC-209,2026-10-08 07:29,Outpost-Zeta,Solar Array Field,routine_check,"Solar Array Field steady, minor debris cleared from main path.",59,verified,genuine
BC-210,2026-10-08 15:46,Marv Mail,Transit Hub Plaza,situation_report,,69,verified,unknown
BC-211,2026-10-08 20:26,Marv Mail,Rec Center Courtyard,situation_report,"Rec Center Courtyard remains as previously reported, no changes to note.",67,verified,outdated
BC-212,2026-10-09 04:31,Mini-Marv-03,Rec Center Courtyard,situation_report,Marv Mail's Rec Center Courtyard report disputed after fresh scouting revealed changed conditions on the ground.,59,disputed,genuine
BC-213,2026-10-09 14:36,Outpost-Epsilon,Bookstore Plaza,supply_request,Requesting medical kit resupply near Bookstore Plaza.,48,unconfirmed,genuine
BC-214,2026-10-09 22:22,Mini-Marv-01,Admin Building Steps,situation_report,"Verified Admin Building Steps conditions independently, consistent with Outpost-Theta's broadcast.",53,verified,genuine
BC-215,2026-10-10 08:37,Marv Mail,CS Building Foyer,situation_report,"CS Building Foyer sector secure, patrol completed without incident.",63,verified,outdated
BC-216,2026-10-10 14:47,Mini-Marv-02,CS Building Foyer,situation_report,Marv Mail's CS Building Foyer report disputed after fresh scouting revealed changed conditions on the ground.,54,disputed,genuine
BC-217,2026-10-10 19:42,New Meridian,IT Building Relay Tower,all_clear,IT Building Relay Tower situation resolved. All clear now.,89,disputed,peacock_spoofed
BC-218,2026-10-12 14:06,Outpost-Beta,IT Building Relay Tower,warning,Convoy ambushed near IT Building Relay Tower despite yesterday's all-clear signal. New Meridian's report was false.,50,verified,genuine
BC-219,2026-10-12 18:58,Outpost-Zeta,Library Walk,emergency,"Investigating disturbance reports near Library Walk, signal degraded en route.",,unconfirmed,genuine
BC-220,2026-10-13 04:41,Outpost-Theta,Guild Village,supply_request,Need replacement fuel cells delivered to Guild Village.,43,unconfirmed,genuine
BC-221,2026-10-13 11:06,Marv Mail,Reynolds Court,situation_report,"Reynolds Court unchanged, relying on earlier patrol notes.",72,verified,outdated
BC-222,2026-10-13 21:22,Mini-Marv-03,Reynolds Court,situation_report,Cross-checked Marv Mail's Reynolds Court report against current scout logs. Timestamp mismatch found - report was stale.,60,disputed,genuine
BC-223,2026-10-14 01:28,Marv Mail,Rec Center Courtyard,situation_report,Rec Center Courtyard reported secure based on last known patrol route.,61,verified,outdated
BC-224,2026-10-14 10:22,Mini-Marv-04,Rec Center Courtyard,situation_report,Marv Mail's Rec Center Courtyard report disputed after fresh scouting revealed changed conditions on the ground.,58,disputed,genuine
BC-225,2026-10-14 18:32,Outpost-Epsilon,Greenhouse Row,routine_check,Morning sweep of Greenhouse Row shows no new activity.,59,unconfirmed,genuine
BC-226,2026-10-15 03:16,Mini-Marv-01,Prescott Court,situation_report,"Verified Prescott Court conditions independently, consistent with Outpost-Beta's broadcast.",57,verified,genuine
BC-227,2026-10-15 10:59,Outpost-Zeta,West Amphitheater,routine_check,Nothing unusual to report at West Amphitheater this pass.,45,unconfirmed,genuine
BC-228,2026-10-15 16:27,Mini-Marv-03,IT Building Relay Tower,situation_report,"Verified IT Building Relay Tower conditions independently, consistent with Outpost-Epsilon's broadcast.",54,verified,genuine
BC-229,2026-10-16 02:03,Outpost-Gamma,Physics Lawn,emergency,Peacock flock breaching Physics Lawn treeline. Requesting backup now.,41,not_checked,genuine
BC-230,2026-10-16 02:17,Outpost-Gamma,Physics Lawn,emergency,"Repeat: Physics Lawn perimeter breached, falling back.",42,not_checked,genuine
BC-231,2026-10-16 05:16,New Meridian,Physics Lawn,all_clear,"Physics Lawn clear for all convoy traffic, no further concern warranted.",94,disputed,peacock_spoofed
BC-232,2026-10-17 05:08,Mini-Marv-04,Physics Lawn,situation_report,"Investigated Physics Lawn - damage matches the earlier emergency broadcasts, not New Meridian's all-clear.",56,verified,genuine
BC-233,2026-10-17 11:30,Outpost-Beta,Bookstore Plaza,routine_check,"Bookstore Plaza calm overnight, fence line intact.",66,verified,genuine
BC-234,2026-10-17 19:45,New Meridian,Rec Center Courtyard,all_clear,Rec Center Courtyard declared safe once more for convoy travel.,90,disputed,peacock_spoofed
BC-235,2026-10-19 04:11,Outpost-Zeta,Rec Center Courtyard,warning,"Rec Center Courtyard hit by peacock swarm overnight, contradicting New Meridian's recent all-clear.",54,verified,genuine
BC-236,2026-10-19 09:09,Outpost-Epsilon,IT Building Relay Tower,routine_check,Routine check at IT Building Relay Tower complete. All systems nominal.,68,verified,genuine
BC-237,2026-10-19 19:04,Outpost-Theta,Physics Lawn,routine_check,"Physics Lawn calm overnight, fence line intact.",48,verified,genuine
BC-238,2026-10-20 01:57,Outpost-Alpha,Library Walk,routine_check,"Library Walk steady, minor debris cleared from main path.",53,verified,genuine
BC-239,2026-10-20 10:22,Outpost-Zeta,Greenhouse Row,emergency,"Investigating disturbance reports near Greenhouse Row, signal degraded en route.",,unconfirmed,genuine
BC-240,2026-10-20 14:28,Outpost-Zeta,Library Walk,routine_check,Morning sweep of Library Walk shows no new activity.,59,verified,genuine
BC-241,2026-10-20 18:53,Outpost-Alpha,North Parking Structure,routine_check,Routine check at North Parking Structure complete. All systems nominal.,57,unconfirmed,genuine
BC-242,2026-10-21 03:55,Outpost-Beta,CS Building Foyer,routine_check,"CS Building Foyer steady, minor debris cleared from main path.",63,verified,genuine
BC-243,2026-10-21 09:54,Outpost-Zeta,Faculty Club Lawn,routine_check,"Patrol through Faculty Club Lawn uneventful, supplies holding.",61,unconfirmed,genuine
BC-244,2026-10-21 17:27,New Meridian,Transit Hub Plaza,all_clear,Transit Hub Plaza situation resolved. All clear now.,89,disputed,peacock_spoofed
BC-245,2026-10-23 07:06,Outpost-Alpha,Transit Hub Plaza,warning,Convoy ambushed near Transit Hub Plaza despite yesterday's all-clear signal. New Meridian's report was false.,51,verified,genuine
BC-246,2026-10-23 13:13,Marv Mail,Guild Village,situation_report,"Guild Village remains as previously reported, no changes to note.",63,verified,outdated
BC-247,2026-10-23 19:49,Mini-Marv-01,Guild Village,situation_report,Marv Mail's Guild Village report flagged; conditions there have shifted since it was filed.,59,disputed,genuine
BC-248,2026-10-24 03:34,Marv Mail,CS Building Foyer,situation_report,"CS Building Foyer remains as previously reported, no changes to note.",64,verified,outdated
BC-249,2026-10-24 11:12,Marv Mail,Old Commerce Building,situation_report,"Old Commerce Building status unchanged from prior cycle, patrol overdue for renewal.",72,verified,outdated
BC-250,2026-10-24 21:38,New Meridian,IT Building Relay Tower,all_clear,IT Building Relay Tower situation resolved. All clear now.,86,disputed,peacock_spoofed
BC-251,2026-10-26 10:42,Outpost-Beta,IT Building Relay Tower,warning,"IT Building Relay Tower hit by peacock swarm overnight, contradicting New Meridian's recent all-clear.",49,verified,genuine
BC-252,2026-10-26 16:02,Outpost-Theta,Library Walk,routine_check,"Library Walk calm overnight, fence line intact.",59,verified,genuine
BC-253,2026-10-26 22:28,New Meridian,Bookstore Plaza,all_clear,All clear at Bookstore Plaza. Proceed as normal.,93,disputed,peacock_spoofed
BC-254,2026-10-28 11:25,Outpost-Zeta,Bookstore Plaza,warning,Convoy ambushed near Bookstore Plaza despite yesterday's all-clear signal. New Meridian's report was false.,64,verified,genuine
BC-255,2026-10-28 18:53,Outpost-Theta,Prescott Court,routine_check,"Prescott Court calm overnight, fence line intact.",45,verified,genuine
BC-256,2026-10-29 04:16,Outpost-Theta,Transit Hub Plaza,routine_check,"Transit Hub Plaza quiet this cycle, no peacock activity reported.",66,verified,genuine
BC-257,2026-10-29 14:23,New Meridian,Robotics Workshop,all_clear,Robotics Workshop situation resolved. All clear now.,93,disputed,peacock_spoofed
BC-258,2026-10-31 06:01,Outpost-Epsilon,Robotics Workshop,warning,Convoy lost at Robotics Workshop. Same false all-clear pattern as before from New Meridian.,63,verified,genuine
BC-259,2026-10-31 16:32,Outpost-Zeta,Guild Village,supply_request,Supply cache at Guild Village needs restocking within the week.,53,unconfirmed,genuine
BC-260,2026-11-01 01:53,Outpost-Epsilon,Robotics Workshop,supply_request,Requesting medical kit resupply near Robotics Workshop.,55,unconfirmed,genuine
BC-261,2026-11-01 13:27,Outpost-Alpha,Faculty Club Lawn,routine_check,Morning sweep of Faculty Club Lawn shows no new activity.,47,verified,genuine
BC-262,2026-11-01 18:23,Outpost-Theta,Bookstore Plaza,routine_check,"Bookstore Plaza quiet this cycle, no peacock activity reported.",66,unconfirmed,genuine
BC-263,2026-11-01 23:53,Outpost-Theta,Engineering Quad,supply_request,Requesting medical kit resupply near Engineering Quad.,54,unconfirmed,genuine
BC-264,2026-11-02 05:30,Marv Mail,Hackett Hall Path,situation_report,"Hackett Hall Path status unchanged from prior cycle, patrol overdue for renewal.",67,verified,outdated
BC-265,2026-11-02 09:44,New Meridian,Greenhouse Row,all_clear,Greenhouse Row declared safe once more for convoy travel.,88,disputed,peacock_spoofed
BC-266,2026-11-04 02:46,Outpost-Epsilon,Greenhouse Row,warning,Convoy ambushed near Greenhouse Row despite yesterday's all-clear signal. New Meridian's report was false.,62,verified,genuine
BC-267,2026-11-04 08:34,Outpost-Zeta,Reynolds Court,supply_request,"Requesting spare parts at Reynolds Court, running low on components.",44,unconfirmed,genuine
BC-268,2026-11-04 18:18,New Meridian,Chemistry Annex,all_clear,All clear at Chemistry Annex. Proceed as normal.,91,disputed,peacock_spoofed
BC-269,2026-11-06 14:20,Outpost-Zeta,Chemistry Annex,warning,Convoy lost at Chemistry Annex. Same false all-clear pattern as before from New Meridian.,59,verified,genuine
BC-270,2026-11-06 21:24,New Meridian,West Amphitheater,all_clear,West Amphitheater declared safe once more for convoy travel.,87,disputed,peacock_spoofed
BC-271,2026-11-08 18:09,Outpost-Epsilon,West Amphitheater,warning,Attack reported at West Amphitheater - New Meridian's all-clear from yesterday proven false again.,55,verified,genuine
BC-272,2026-11-09 02:12,Outpost-Zeta,Sunken Garden,emergency,Peacock flock breaching Sunken Garden treeline. Requesting backup now.,42,not_checked,genuine
BC-273,2026-11-09 02:44,Outpost-Zeta,Sunken Garden,emergency,"Repeat: Sunken Garden perimeter breached, falling back.",43,not_checked,genuine
BC-274,2026-11-09 06:28,New Meridian,Sunken Garden,all_clear,Sunken Garden situation resolved. All clear now.,94,disputed,peacock_spoofed
BC-275,2026-11-10 04:32,Mini-Marv-05,Sunken Garden,situation_report,"Followed up on Sunken Garden's emergency call - no relief ever arrived, damage confirms the original reports.",53,verified,genuine
BC-276,2026-11-10 11:07,New Meridian,IT Building Relay Tower,all_clear,"IT Building Relay Tower clear for all convoy traffic, no further concern warranted.",94,disputed,peacock_spoofed
BC-277,2026-11-11 20:18,Outpost-Zeta,IT Building Relay Tower,warning,Convoy ambushed near IT Building Relay Tower despite yesterday's all-clear signal. New Meridian's report was false.,55,verified,genuine
BC-278,2026-11-12 05:57,Marv Mail,Bookstore Plaza,situation_report,Bookstore Plaza reported secure based on last known patrol route.,70,verified,outdated
BC-279,2026-11-12 11:10,Marv Mail,CS Building Foyer,situation_report,"CS Building Foyer remains as previously reported, no changes to note.",68,verified,outdated
BC-280,2026-11-12 15:58,Outpost-Alpha,Founders Walk,supply_request,"Low on antenna components at Founders Walk, requesting shipment.",54,unconfirmed,genuine
BC-281,2026-11-12 21:07,Outpost-Beta,Greenhouse Row,routine_check,Routine check at Greenhouse Row complete. All systems nominal.,60,verified,genuine
BC-282,2026-11-13 06:40,Outpost-Alpha,Greenhouse Row,supply_request,Supply cache at Greenhouse Row needs restocking within the week.,52,unconfirmed,genuine
BC-283,2026-11-13 15:41,Marv Mail,Faculty Club Lawn,situation_report,,60,verified,unknown
BC-284,2026-11-13 21:33,Marv Mail,Library Walk,situation_report,"Library Walk remains as previously reported, no changes to note.",71,verified,outdated
BC-285,2026-11-14 11:23,Mini-Marv-01,Library Walk,situation_report,Marv Mail's Library Walk report flagged; conditions there have shifted since it was filed.,54,disputed,genuine
BC-286,2026-11-14 22:37,Marv Mail,CS Building Foyer,situation_report,"CS Building Foyer status unchanged from prior cycle, patrol overdue for renewal.",72,verified,outdated
BC-287,2026-11-15 07:29,Mini-Marv-04,CS Building Foyer,situation_report,Marv Mail's CS Building Foyer report disputed after fresh scouting revealed changed conditions on the ground.,55,disputed,genuine
BC-288,2026-11-15 16:00,New Meridian,Robotics Workshop,all_clear,"Robotics Workshop clear for all convoy traffic, no further concern warranted.",87,disputed,peacock_spoofed
BC-289,2026-11-16 17:54,Outpost-Zeta,Robotics Workshop,warning,Convoy lost at Robotics Workshop. Same false all-clear pattern as before from New Meridian.,60,verified,genuine
BC-290,2026-11-16 23:03,Outpost-Zeta,Founders Walk,emergency,Peacocks breaching Founders Walk perimeter fence. Requesting immediate backup.,42,not_checked,genuine
BC-291,2026-11-16 23:31,Outpost-Zeta,Founders Walk,emergency,"Repeat: Founders Walk overrun, retreating to secondary position.",40,not_checked,genuine
BC-292,2026-11-17 02:52,New Meridian,Founders Walk,all_clear,"Founders Walk clear for all convoy traffic, no further concern warranted.",88,disputed,peacock_spoofed
BC-293,2026-11-18 01:31,Mini-Marv-03,Founders Walk,situation_report,"Followed up on Founders Walk's emergency call - no relief ever arrived, damage confirms the original reports.",52,verified,genuine
BC-294,2026-11-18 08:55,Marv Mail,Physics Lawn,situation_report,Physics Lawn reported secure based on last known patrol route.,64,verified,outdated
BC-295,2026-11-18 17:59,Mini-Marv-04,Physics Lawn,situation_report,Cross-checked Marv Mail's Physics Lawn report against current scout logs. Timestamp mismatch found - report was stale.,55,disputed,genuine
BC-296,2026-11-19 00:52,Outpost-Epsilon,Library Walk,supply_request,"Requesting spare parts at Library Walk, running low on components.",52,unconfirmed,genuine
BC-297,2026-11-19 09:23,Outpost-Alpha,Solar Array Field,routine_check,Morning sweep of Solar Array Field shows no new activity.,54,verified,genuine
BC-298,2026-11-19 16:12,Marv Mail,IT Building Relay Tower,situation_report,"IT Building Relay Tower unchanged, relying on earlier patrol notes.",64,verified,outdated
BC-299,2026-11-20 01:29,Marv Mail,Hackett Hall Path,situation_report,"Hackett Hall Path sector secure, patrol completed without incident.",70,verified,outdated
BC-300,2026-11-20 09:57,Mini-Marv-04,Hackett Hall Path,situation_report,Cross-checked Marv Mail's Hackett Hall Path report against current scout logs. Timestamp mismatch found - report was stale.,57,disputed,genuine
